Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,239161,14,7,861,9962,373,0,61.5,116.7856353,4634,0,1423.142857,2122.343393,45254.03389,87.80695849,11958.05,18538.43811,49718,3,239161,18397.0,21223.46711,49718,3,183012,30502.0,35361.17185,89024,916,0,0,0,0,460,232,58.53797233,29.26898616,0,4634,491.9545455,1311.292183,1719487.188,0,0,0,1,0,0,0,0,0,515.3809524,61.5,1423.142857,460,0,0,0,0,0,0,14,861,7,9962,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,508,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3937.007874,508.0,0.0,508,508,508,508.0,0.0,508,508,0,0.0,0.0,0,0,0,0,0,0,64,0,3937.007874,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,465,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2006871,7,6,1588,1088,1020,0,226.8571429,397.9197694,951,0,181.3333333,381.0195096,1333.419039,6.477745705,167239.25,565272.6861,1961905,15,44966,7494.333333,15882.37827,39887,304,2006625,401325.0,893385.0286,1999460,347,0,0,0,0,232,200,3.488016918,2.989728787,0,1020,191.1428571,363.9486137,132458.5934,0,0,0,1,0,0,0,0,0,205.8461538,226.8571429,181.3333333,232,0,0,0,0,0,0,7,1588,6,1088,29200,8,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115581102,21,18,1443,7527,1089,0,68.71428571,238.5592469,2820,0,418.1666667,922.3754658,77.60784285,0.337425404,3041607.947,4541988.432,10000000,3,116000000,5779055.1,4992892.161,10100000,3,112000000,6571831.059,4969095.625,10100000,202,0,0,0,0,432,504,0.181690602,0.155734802,0,2820,224.25,657.0443434,431707.2692,0,0,0,1,0,0,0,0,0,230.0,68.71428571,418.1666667,432,0,0,0,0,0,0,21,1443,18,7527,8192,123,15,20,153308.9091,80971.93188,397448,128690,10000000.0,7040.247483,10000000,9992135,BENIGN
53,166,2,2,96,128,48,48,48.0,0.0,64,64,64.0,0.0,1349397.59,24096.38554,55.33333333,92.38145557,162,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,64,64,12048.19277,12048.19277,48,64,54.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,68.0,48.0,64.0,64,0,0,0,0,0,0,2,96,2,128,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115966889,38,51,1467,50347,517,0,38.60526316,124.7027903,1418,0,987.1960784,643.8716648,446.7999482,0.767460443,1317805.557,3348582.413,10000000,0,116000000,3134240.243,4632664.048,10100000,0,111000000,2215087.76,4201722.629,10100000,1,0,0,0,0,1224,1640,0.32767974,0.439780703,0,1418,575.7111111,680.655785,463292.2976,0,0,0,1,0,0,0,0,1,582.1797753,38.60526316,987.1960784,1224,0,0,0,0,0,0,38,1467,51,50347,29200,357,5,32,59541.08333,79171.18737,310943,36537,9604362.333,1394861.14,10000000,5175336,BENIGN
53,51291,2,2,66,386,33,33,33.0,0.0,193,193,193.0,0.0,8812.462225,77.98639137,17097.0,29568.71392,51240,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,64,38.99319569,38.99319569,33,193,97.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1,121.25,33.0,193.0,64,0,0,0,0,0,0,2,66,2,386,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,216047,13,8,1225,4496,741,0,94.23076923,208.9242901,1418,0,562.0,640.3224634,26480.34918,97.20107199,10802.35,18221.79655,50795,1,216047,18003.91667,21026.54279,50915,1,174986,24998.0,33279.73408,81913,48,0,0,0,0,428,264,60.17209218,37.02897981,0,1418,260.0454545,465.3901054,216587.9502,0,0,0,1,0,0,0,0,0,272.4285714,94.23076923,562.0,428,0,0,0,0,0,0,13,1225,8,4496,65535,352,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23987,2,2,66,316,33,33,33.0,0.0,158,158,158.0,0.0,15925.29287,166.7569934,7995.666667,13843.70475,23981,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,83.37849669,83.37849669,33,158,83.0,68.46531969,4687.5,0,0,0,0,0,0,0,0,1,103.75,33.0,158.0,40,0,0,0,0,0,0,2,66,2,316,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2466710,12,14,3145,1752,762,0,262.0833333,319.7105106,361,0,125.1428571,158.7207791,1985.235395,10.54035537,98668.4,245756.8606,1000669,3,1466037,133276.0909,222809.0912,789836,116,2378243,182941.7692,343634.8156,1000745,3,0,0,0,0,252,292,4.864779403,5.67557597,0,762,181.3703704,248.6265578,61815.16524,0,0,0,1,0,0,0,0,1,188.3461538,262.0833333,125.1428571,252,0,0,0,0,0,0,12,3145,14,1752,8192,70,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,32176,2,2,92,138,46,46,46.0,0.0,69,69,69.0,0.0,7148.184983,124.3162606,10725.33333,18572.49219,32171,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,40,62.15813028,62.15813028,46,69,55.2,12.59761882,158.7,0,0,0,0,0,0,0,0,1,69.0,46.0,69.0,64,0,0,0,0,0,0,2,92,2,138,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,996,2,2,76,122,38,38,38.0,0.0,61,61,61.0,0.0,198795.1807,4016.064257,332.0,533.123813,947,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,80,2008.032129,2008.032129,38,61,47.2,12.59761882,158.7,0,0,0,0,0,0,0,0,1,59.0,38.0,61.0,64,0,0,0,0,0,0,2,76,2,122,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53396,8148,3,1,336,0,258,0,112.0,132.3177993,0,0,0.0,0.0,41237.1134,490.9180167,2716.0,4629.082955,8061,3,8148,4074.0,5757.263412,8145,3,0,0.0,0.0,0,0,1,0,0,0,60,20,368.1885125,122.7295042,0,258,118.8,131.0007634,17161.2,0,1,0,0,1,0,0,0,0,148.5,112.0,0.0,60,0,0,0,0,0,0,3,336,1,0,31088,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5932399,8,7,348,5815,191,0,43.5,73.85313612,2568,0,830.7142857,1008.178674,1038.871458,2.528488053,423742.7857,1469279.001,5519152,3,5932399,847485.5714,2063592.986,5519152,48,390346,65057.66667,146500.7456,363493,3,0,0,0,0,172,152,1.348526962,1.179961092,0,2568,385.1875,757.564362,573903.7625,0,0,0,1,0,0,0,0,0,410.8666667,43.5,830.7142857,172,0,0,0,0,0,0,8,348,7,5815,8192,123,3,20,413199.0,0.0,413199,413199,5519152.0,0.0,5519152,5519152,BENIGN
443,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42606,203,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14778.32512,101.5,142.128463,202,1,203,101.5,142.128463,202,1,0,0.0,0.0,0,0,0,0,0,0,96,0,14778.32512,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,126,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,256,118,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,212188,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9.42560371,212188.0,0.0,212188,212188,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,4.712801855,4.712801855,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,40,0,0,0,0,0,0,1,0,1,0,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,163,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1276073.62,24539.8773,54.33333333,88.91194146,157,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,12269.93865,12269.93865,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,64,0,0,0,0,0,0,2,72,2,136,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,230,2,2,74,154,37,37,37.0,0.0,77,77,77.0,0.0,991304.3478,17391.30435,76.66666667,91.43485841,179,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,8695.652174,8695.652174,37,77,53.0,21.9089023,480.0,0,0,0,0,0,0,0,0,1,66.25,37.0,77.0,64,0,0,0,0,0,0,2,74,2,154,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,177,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,903954.8023,22598.87006,59.0,99.59417654,174,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,11299.43503,11299.43503,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,305515,2,2,88,144,44,44,44.0,0.0,72,72,72.0,0.0,759.3735168,13.09264684,101838.3333,176383.9713,305509,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,6.546323421,6.546323421,44,72,55.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,69.0,44.0,72.0,64,0,0,0,0,0,0,2,88,2,144,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53851,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,4741,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,204,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,68627.45098,14705.88235,102.0,31.11269837,124,80,204,204.0,0.0,204,204,0,0.0,0.0,0,0,1,0,0,0,64,20,9803.921569,4901.960784,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
49336,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,5953,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
59742,166,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18072.28916,83.0,113.137085,163,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,32,12048.19277,6024.096386,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,37,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
137,4,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,31000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,40,0,0,0,0,0,0,2,124,0,0,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30782,2,2,94,206,47,47,47.0,0.0,103,103,103.0,0.0,9745.955428,129.9460724,10260.66667,17726.97632,30730,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,80,64.97303619,64.97303619,47,103,69.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,86.75,47.0,103.0,64,0,0,0,0,0,0,2,94,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,81,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24691.35802,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12345.67901,12345.67901,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
443,68365702,54,66,31880,49713,5760,0,590.3703704,1283.126301,2920,0,753.2272727,883.4691374,1193.478566,1.755266113,574501.6975,5976680.685,65200000,0,3184136,60078.03774,325140.6499,2335053,1,68300000,1051434.908,8084127.347,65200000,1,0,0,0,0,1092,1332,0.789869751,0.965396362,0,5760,674.322314,1077.18677,1160331.337,0,0,0,1,0,0,0,0,1,679.9416667,590.3703704,753.2272727,1092,0,0,0,0,0,0,54,31880,66,49713,65535,0,14,20,3184136.0,0.0,3184136,3184136,65200000.0,0.0,65200000,65200000,BENIGN
53,163,2,2,78,134,39,39,39.0,0.0,67,67,67.0,0.0,1300613.497,24539.8773,54.33333333,88.04733575,156,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,12269.93865,12269.93865,39,67,50.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,62.75,39.0,67.0,40,0,0,0,0,0,0,2,78,2,134,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54348,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,40,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,368,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1109230,2,2,64,226,32,32,32.0,0.0,113,113,113.0,0.0,261.4426224,3.606105136,369743.3333,640409.909,1109225,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,40,64,1.803052568,1.803052568,32,113,64.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,80.5,32.0,113.0,40,0,0,0,0,0,0,2,64,2,226,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,205,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,1346341.463,19512.19512,68.33333333,35.2325607,109,47,49,49.0,0.0,49,49,47,47.0,0.0,47,47,0,0,0,0,64,64,9756.097561,9756.097561,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,58990,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33.90405153,58990.0,0.0,58990,58990,58990,58990.0,0.0,58990,58990,0,0.0,0.0,0,0,0,0,0,0,40,0,33.90405153,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,58001,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1655.143877,34.4821641,58001.0,0.0,58001,58001,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17.24108205,17.24108205,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31224,1,1,49,114,49,49,49.0,0.0,114,114,114.0,0.0,5220.343326,64.05329234,31224.0,0.0,31224,31224,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,32,32.02664617,32.02664617,49,114,70.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,106.0,49.0,114.0,44,0,0,0,0,0,0,1,49,1,114,-1,-1,0,44,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,177952,19,30,887,39350,405,0,46.68421053,108.5971417,2896,0,1311.666667,582.5411238,226111.5357,275.355152,3707.333333,9707.952069,42802,1,177952,9886.222222,14607.01941,43116,1,143735,4956.37931,13618.135,54065,47,0,0,0,0,620,968,106.770365,168.5847869,0,2896,804.74,773.6570935,598545.2984,0,0,0,1,0,0,0,0,1,821.1632653,46.68421053,1311.666667,620,0,0,0,0,0,0,19,887,30,39350,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48353,1,1,53,114,53,53,53.0,0.0,114,114,114.0,0.0,3453.767088,41.36248009,48353.0,0.0,48353,48353,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.68124005,20.68124005,53,114,73.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,110.0,53.0,114.0,32,0,0,0,0,0,0,1,53,1,114,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,207,2,2,72,168,36,36,36.0,0.0,84,84,84.0,0.0,1159420.29,19323.6715,69.0,77.94870108,155,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,9661.835749,9661.835749,36,84,55.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,69.0,36.0,84.0,64,0,0,0,0,0,0,2,72,2,168,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
47224,33,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,60606.06061,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,30303.0303,30303.0303,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,283,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5980329,7,8,1571,427,1003,0,224.4285714,392.284275,259,0,53.375,95.63313457,334.0953315,2.50822321,427166.3571,1507393.993,5663666,1,316662,52777.0,30771.10476,91603,14515,5929323,847046.1429,2141025.45,5701490,1,0,0,0,0,232,264,1.170504165,1.337719045,0,1003,124.875,272.4224354,74213.98333,0,0,0,1,0,0,0,0,1,133.2,224.4285714,53.375,232,0,0,0,0,0,0,7,1571,8,427,29200,234,3,32,316662.0,0.0,316662,316662,5663666.0,0.0,5663666,5663666,BENIGN
53,319,2,2,76,354,38,38,38.0,0.0,177,177,177.0,0.0,1347962.382,12539.18495,106.3333333,183.3093924,318,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,6269.592476,6269.592476,38,177,93.6,76.13343549,5796.3,0,0,0,0,0,0,0,0,1,117.0,38.0,177.0,64,0,0,0,0,0,0,2,76,2,354,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
